commit,date,features,method,throughput,us_per_step,avg_accept_len
1a00e32,2026-05-15T11:52:19,sparse_mlp+domain_latent+ppot+bandit,Transformer AR,924098,1.08,1.00
1a00e32,2026-05-15T11:52:19,sparse_mlp+domain_latent+ppot+bandit,DFlash,450259,2.22,8.00
1a00e32,2026-05-15T11:52:19,sparse_mlp+domain_latent+ppot+bandit,DDTree Build,372598,2.68,0.00
1a00e32,2026-05-15T11:52:19,sparse_mlp+domain_latent+ppot+bandit,Speculative (Simulated),983035,5.09,5.00
1a00e32,2026-05-15T11:52:19,sparse_mlp+domain_latent+ppot+bandit,Speculative (AR Draft),1417878,4.93,7.00
1a00e32,2026-05-15T11:52:19,sparse_mlp+domain_latent+ppot+bandit,Leviathan (Algorithm 1),93172,12.65,1.18
1a00e32,2026-05-15T11:52:19,sparse_mlp+domain_latent+ppot+bandit,Leviathan (no rollback),93445,12.62,1.18
1a00e32,2026-05-15T11:52:19,sparse_mlp+domain_latent+ppot+bandit,Leviathan (w/ rollback),177508,6.62,1.18
1a00e32,2026-05-15T11:52:19,sparse_mlp+domain_latent+ppot+bandit,Spec (unconditioned),983515,5.08,5.00
1a00e32,2026-05-15T11:52:19,sparse_mlp+domain_latent+ppot+bandit,Spec (conditioned),1060735,6.36,6.74
1a00e32,2026-05-15T11:52:19,sparse_mlp+domain_latent+ppot+bandit,Prefill (no compress),266894,3.75,64.00
1a00e32,2026-05-15T11:52:19,sparse_mlp+domain_latent+ppot+bandit,Prefill (compressed),249617,4.01,7.00
1a00e32,2026-05-15T11:52:19,sparse_mlp+domain_latent+ppot+bandit,DDTree (no chain),369466,2.71,16.00
1a00e32,2026-05-15T11:52:19,sparse_mlp+domain_latent+ppot+bandit,DDTree (chain-seed),389978,2.56,16.00
1a00e32,2026-05-15T11:52:19,sparse_mlp+domain_latent+ppot+bandit,DDTree (screened R=1.0),298811,3.35,16.00
1a00e32,2026-05-15T11:52:19,sparse_mlp+domain_latent+ppot+bandit,DDTree (screened adapter),298522,3.35,16.00
1a00e32,2026-05-15T11:52:19,sparse_mlp+domain_latent+ppot+bandit,forward (flat),831619,1.20,0.00
1a00e32,2026-05-15T11:52:19,sparse_mlp+domain_latent+ppot+bandit,forward_paged,780361,1.28,0.00
1a00e32,2026-05-15T11:52:19,sparse_mlp+domain_latent+ppot+bandit,forward_raven (16 slots),1390045,0.72,0.00
1a00e32,2026-05-15T11:52:19,sparse_mlp+domain_latent+ppot+bandit,raven_recall (1000 noise, slot 12=9.9→6.3 acc=63%),9174312,0.11,63.21
1a00e32,2026-05-15T11:52:19,sparse_mlp+domain_latent+ppot+bandit,TQ-3bit store+dequant (alloc),1688209,0.59,5.33
1a00e32,2026-05-15T11:52:19,sparse_mlp+domain_latent+ppot+bandit,TQ-3bit store+dequant (zero-alloc),2401050,0.42,5.33
1a00e32,2026-05-15T11:52:19,sparse_mlp+domain_latent+ppot+bandit,PFlash block_select (1024 blocks),1184015,0.84,0.00
